Video Name,FID Score,,,,,
BigSur,19.21027346,,,,,
chesshand,29.15469365,,,,,
eating_closeup,52.39494817,,,,,
english_bulldog,42.48369342,,,,,
eyeblink,180.6952042,,,,,
jumping_adventure,50.40021721,,,,,
metro_proposal,146.2250952,,,,,
mixcoffe,80.32507709,,,,,
old_man,34.69640879,,,,,
red_rose,43.7975606,,,,,
snail,38.37207482,,,,,
snail_metro,19.46960987,,,,,
swanlake,36.63912016,,,,,
windspeedsurf,50.07585258,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
